zip_code,active_license_count_2000,active_license_count_2001,active_license_count_2002,active_license_count_2003,active_license_count_2004,active_license_count_2005,active_license_count_2006,active_license_count_2007,active_license_count_2008,active_license_count_2009,active_license_count_2010,active_license_count_2011,active_license_count_2012,active_license_count_2013,active_license_count_2014,active_license_count_2015,active_license_count_2016,active_license_count_2017,active_license_count_2018,active_license_count_2019,active_license_count_2020,active_license_count_2021,active_license_count_2022,active_license_count_2023,active_license_count_2024,active_license_count_2025,positive_storefront_count_2000,positive_storefront_count_2001,positive_storefront_count_2002,positive_storefront_count_2003,positive_storefront_count_2004,positive_storefront_count_2005,positive_storefront_count_2006,positive_storefront_count_2007,positive_storefront_count_2008,positive_storefront_count_2009,positive_storefront_count_2010,positive_storefront_count_2011,positive_storefront_count_2012,positive_storefront_count_2013,positive_storefront_count_2014,positive_storefront_count_2015,positive_storefront_count_2016,positive_storefront_count_2017,positive_storefront_count_2018,positive_storefront_count_2019,positive_storefront_count_2020,positive_storefront_count_2021,positive_storefront_count_2022,positive_storefront_count_2023,positive_storefront_count_2024,positive_storefront_count_2025,positive_weight_2000,positive_weight_2001,positive_weight_2002,positive_weight_2003,positive_weight_2004,positive_weight_2005,positive_weight_2006,positive_weight_2007,positive_weight_2008,positive_weight_2009,positive_weight_2010,positive_weight_2011,positive_weight_2012,positive_weight_2013,positive_weight_2014,positive_weight_2015,positive_weight_2016,positive_weight_2017,positive_weight_2018,positive_weight_2019,positive_weight_2020,positive_weight_2021,positive_weight_2022,positive_weight_2023,positive_weight_2024,positive_weight_2025,negative_weight_2000,negative_weight_2001,negative_weight_2002,negative_weight_2003,negative_weight_2004,negative_weight_2005,negative_weight_2006,negative_weight_2007,negative_weight_2008,negative_weight_2009,negative_weight_2010,negative_weight_2011,negative_weight_2012,negative_weight_2013,negative_weight_2014,negative_weight_2015,negative_weight_2016,negative_weight_2017,negative_weight_2018,negative_weight_2019,negative_weight_2020,negative_weight_2021,negative_weight_2022,negative_weight_2023,negative_weight_2024,negative_weight_2025,net_weight_2000,net_weight_2001,net_weight_2002,net_weight_2003,net_weight_2004,net_weight_2005,net_weight_2006,net_weight_2007,net_weight_2008,net_weight_2009,net_weight_2010,net_weight_2011,net_weight_2012,net_weight_2013,net_weight_2014,net_weight_2015,net_weight_2016,net_weight_2017,net_weight_2018,net_weight_2019,net_weight_2020,net_weight_2021,net_weight_2022,net_weight_2023,net_weight_2024,net_weight_2025,positive_category_count_2000,positive_category_count_2001,positive_category_count_2002,positive_category_count_2003,positive_category_count_2004,positive_category_count_2005,positive_category_count_2006,positive_category_count_2007,positive_category_count_2008,positive_category_count_2009,positive_category_count_2010,positive_category_count_2011,positive_category_count_2012,positive_category_count_2013,positive_category_count_2014,positive_category_count_2015,positive_category_count_2016,positive_category_count_2017,positive_category_count_2018,positive_category_count_2019,positive_category_count_2020,positive_category_count_2021,positive_category_count_2022,positive_category_count_2023,positive_category_count_2024,positive_category_count_2025,positive_category_coverage_2000,positive_category_coverage_2001,positive_category_coverage_2002,positive_category_coverage_2003,positive_category_coverage_2004,positive_category_coverage_2005,positive_category_coverage_2006,positive_category_coverage_2007,positive_category_coverage_2008,positive_category_coverage_2009,positive_category_coverage_2010,positive_category_coverage_2011,positive_category_coverage_2012,positive_category_coverage_2013,positive_category_coverage_2014,positive_category_coverage_2015,positive_category_coverage_2016,positive_category_coverage_2017,positive_category_coverage_2018,positive_category_coverage_2019,positive_category_coverage_2020,positive_category_coverage_2021,positive_category_coverage_2022,positive_category_coverage_2023,positive_category_coverage_2024,positive_category_coverage_2025,mix_balance_2000,mix_balance_2001,mix_balance_2002,mix_balance_2003,mix_balance_2004,mix_balance_2005,mix_balance_2006,mix_balance_2007,mix_balance_2008,mix_balance_2009,mix_balance_2010,mix_balance_2011,mix_balance_2012,mix_balance_2013,mix_balance_2014,mix_balance_2015,mix_balance_2016,mix_balance_2017,mix_balance_2018,mix_balance_2019,mix_balance_2020,mix_balance_2021,mix_balance_2022,mix_balance_2023,mix_balance_2024,mix_balance_2025,destination_intensity_2000,destination_intensity_2001,destination_intensity_2002,destination_intensity_2003,destination_intensity_2004,destination_intensity_2005,destination_intensity_2006,destination_intensity_2007,destination_intensity_2008,destination_intensity_2009,destination_intensity_2010,destination_intensity_2011,destination_intensity_2012,destination_intensity_2013,destination_intensity_2014,destination_intensity_2015,destination_intensity_2016,destination_intensity_2017,destination_intensity_2018,destination_intensity_2019,destination_intensity_2020,destination_intensity_2021,destination_intensity_2022,destination_intensity_2023,destination_intensity_2024,destination_intensity_2025,walkability_score_2000,walkability_score_2001,walkability_score_2002,walkability_score_2003,walkability_score_2004,walkability_score_2005,walkability_score_2006,walkability_score_2007,walkability_score_2008,walkability_score_2009,walkability_score_2010,walkability_score_2011,walkability_score_2012,walkability_score_2013,walkability_score_2014,walkability_score_2015,walkability_score_2016,walkability_score_2017,walkability_score_2018,walkability_score_2019,walkability_score_2020,walkability_score_2021,walkability_score_2022,walkability_score_2023,walkability_score_2024,walkability_score_2025
60601,59,262,1561,2476,2463,2558,2621,2615,2982,1932,3019,1904,2923,1822,2442,1797,2336,1842,2302,1826,1986,1857,1826,1600,1677,1498,13,97,736,1142,1119,1054,1032,1013,959,706,1048,723,1121,818,1215,1027,1350,1180,1447,1236,1316,1283,1257,1165,1187,1115,35,265,2084,3246,3173,2978,2921,2865,2679,1971,2931,2021,3076,2179,3162,2557,3340,2865,3552,3005,3171,3099,3029,2884,2947,2822,0,2,28,46,40,56,59,45,48,33,61,76,150,129,153,146,147,157,175,168,117,127,118,126,128,143,35,263,2056,3200,3133,2922,2862,2820,2631,1938,2870,1945,2926,2050,3009,2411,3193,2708,3377,2837,3054,2972,2911,2758,2819,2679,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993,0.987,0.986,0.988,0.982,0.98,0.985,0.982,0.984,0.98,0.964,0.954,0.944,0.954,0.946,0.958,0.948,0.953,0.947,0.964,0.961,0.963,0.958,0.958,0.952,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.2,99.6,99.3,99.3,99.4,99.1,99.0,99.2,99.1,99.2,99.0,98.2,97.7,97.2,97.7,97.3,97.9,97.4,97.7,97.4,98.2,98.0,98.1,97.9,97.9,97.6
60602,16,65,781,1335,1389,1455,1507,1604,1623,1151,1776,1127,1715,1070,1510,1071,1359,994,1274,969,1110,916,969,793,882,721,0,10,238,410,413,411,426,449,420,307,463,327,563,452,644,492,674,557,693,585,649,568,588,512,548,486,0,22,636,1099,1102,1086,1125,1184,1100,821,1232,875,1366,1020,1448,1102,1505,1235,1522,1265,1384,1196,1228,1081,1165,1045,0,2,7,12,17,19,14,17,23,19,26,43,91,66,81,72,72,53,72,61,62,60,52,39,47,36,0,20,629,1087,1085,1067,1111,1167,1077,802,1206,832,1275,954,1367,1030,1433,1182,1450,1204,1322,1136,1176,1042,1118,1009,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.917,0.989,0.989,0.985,0.983,0.988,0.986,0.98,0.977,0.979,0.953,0.938,0.939,0.947,0.939,0.954,0.959,0.955,0.954,0.957,0.952,0.959,0.965,0.961,0.967,0.0,0.736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,84.2,99.5,99.5,99.2,99.1,99.4,99.3,99.0,98.9,99.0,97.7,96.9,97.0,97.4,96.9,97.7,97.9,97.7,97.7,97.9,97.6,98.0,98.3,98.1,98.3
60603,6,43,984,1835,2367,1806,1876,1886,1931,1258,2077,1267,2057,1262,1915,1265,1758,1265,1632,1219,1449,1218,1289,947,1057,793,1,14,333,597,686,564,581,584,553,378,589,418,732,591,903,722,972,773,989,804,922,820,874,670,736,579,3,36,921,1647,1864,1552,1615,1625,1519,1032,1615,1142,1838,1375,2008,1604,2119,1708,2151,1760,1977,1775,1794,1446,1590,1291,2,2,18,38,48,39,48,50,60,38,72,66,147,123,144,126,149,144,149,142,117,121,113,115,105,100,1,34,903,1609,1816,1513,1567,1575,1459,994,1543,1076,1691,1252,1864,1478,1970,1564,2002,1618,1860,1654,1681,1331,1485,1191,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.947,0.981,0.977,0.975,0.975,0.971,0.97,0.962,0.964,0.957,0.945,0.926,0.918,0.933,0.927,0.934,0.922,0.935,0.925,0.944,0.936,0.941,0.926,0.938,0.928,0.213,0.831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.3,93.1,99.0,98.9,98.7,98.8,98.6,98.5,98.1,98.2,97.9,97.3,96.3,95.9,96.7,96.4,96.7,96.1,96.8,96.3,97.2,96.8,97.0,96.3,96.9,96.4
60604,14,50,700,1248,1544,1189,1187,1233,1288,828,1297,695,1107,640,953,651,916,600,842,632,718,574,603,441,560,442,5,12,264,484,573,437,430,436,407,265,410,259,410,308,455,381,523,406,529,423,492,415,454,343,424,343,15,33,715,1297,1521,1173,1170,1199,1116,728,1126,707,1091,779,1130,903,1221,928,1204,960,1106,932,1037,795,979,786,0,2,15,28,35,24,22,15,15,12,23,14,24,14,21,16,15,11,21,16,20,15,20,16,23,19,15,31,700,1269,1486,1149,1148,1184,1101,716,1103,693,1067,765,1109,887,1206,917,1183,944,1086,917,1017,779,956,767,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.4,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.943,0.979,0.979,0.978,0.98,0.982,0.988,0.987,0.984,0.98,0.981,0.978,0.982,0.982,0.983,0.988,0.988,0.983,0.984,0.982,0.984,0.981,0.98,0.977,0.976,0.55,0.787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73.7,86.8,99.0,98.9,98.9,99.0,99.1,99.4,99.3,99.2,99.0,99.0,98.9,99.1,99.1,99.1,99.4,99.4,99.1,99.2,99.1,99.2,99.1,99.0,98.9,98.8
60605,33,150,1006,1549,1540,1505,1512,1527,1715,1122,1816,1131,1798,1164,1634,1214,1566,1255,1576,1345,1495,1436,1449,1251,1359,1153,3,59,522,816,803,757,779,790,839,560,891,567,939,714,1073,879,1139,940,1142,1001,1116,1069,1099,989,1097,957,6,165,1476,2301,2257,2145,2220,2247,2377,1589,2523,1613,2622,1970,2925,2331,3030,2482,3048,2656,2972,2856,2957,2678,2984,2607,6,12,80,125,113,104,101,86,76,65,99,104,181,128,150,109,112,101,116,97,85,84,87,73,86,75,0,153,1396,2176,2144,2041,2119,2161,2301,1524,2424,1509,2441,1842,2775,2222,2918,2381,2932,2559,2887,2772,2870,2605,2898,2532,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.932,0.949,0.948,0.952,0.954,0.956,0.963,0.969,0.961,0.962,0.939,0.935,0.939,0.951,0.955,0.964,0.961,0.963,0.965,0.972,0.971,0.971,0.973,0.972,0.972,0.425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.6,96.6,97.4,97.4,97.6,97.7,97.8,98.2,98.5,98.0,98.1,97.0,96.8,96.9,97.6,97.8,98.2,98.0,98.2,98.2,98.6,98.6,98.6,98.7,98.6,98.6
60606,51,293,1663,2553,2490,2514,2554,2513,3273,2094,3420,1979,3123,1875,2787,1900,2588,1819,2397,1798,2176,1865,1956,1546,1813,1454,8,83,594,930,913,880,860,827,811,581,846,563,893,747,1167,968,1303,1062,1385,1186,1363,1262,1280,1100,1235,1079,21,241,1705,2668,2627,2528,2477,2384,2324,1661,2428,1618,2447,1831,2720,2140,2823,2260,2935,2554,2820,2694,2615,2314,2512,2307,0,25,81,115,97,89,90,91,89,50,76,52,87,45,72,57,67,54,67,54,56,56,57,49,42,40,21,216,1624,2553,2530,2439,2387,2293,2235,1611,2352,1566,2360,1786,2648,2083,2756,2206,2868,2500,2764,2638,2558,2265,2470,2267,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.906,0.955,0.959,0.964,0.966,0.965,0.963,0.963,0.971,0.97,0.969,0.966,0.976,0.974,0.974,0.977,0.977,0.978,0.979,0.981,0.98,0.979,0.979,0.984,0.983,0.674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,86.9,90.3,97.7,97.9,98.2,98.3,98.2,98.2,98.2,98.5,98.5,98.4,98.3,98.8,98.7,98.7,98.8,98.8,98.9,99.0,99.0,99.0,98.9,99.0,99.2,99.1
60607,34,185,1759,2926,2881,2940,3005,3128,3018,1925,3180,2023,3369,2046,2921,2121,2817,2204,2758,2251,2550,2449,2572,2389,2695,2398,5,66,704,1125,1049,1088,1122,1165,1114,740,1187,788,1307,1021,1527,1294,1701,1466,1838,1622,1851,1854,1944,1886,2076,1925,12,182,2009,3212,2974,3083,3181,3301,3157,2080,3346,2200,3598,2701,4023,3260,4366,3672,4669,4103,4744,4744,4978,4762,5287,4928,16,80,593,994,912,863,861,849,820,462,806,554,1113,600,874,589,791,585,690,473,439,393,344,262,341,285,-4,102,1416,2218,2062,2220,2320,2452,2337,1618,2540,1646,2485,2101,3149,2671,3575,3087,3979,3630,4305,4351,4634,4500,4946,4643,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.429,0.695,0.772,0.764,0.765,0.781,0.787,0.795,0.794,0.818,0.806,0.799,0.764,0.818,0.822,0.847,0.847,0.863,0.871,0.897,0.915,0.923,0.935,0.948,0.939,0.945,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.2,84.7,88.6,88.2,88.3,89.1,89.3,89.8,89.7,90.9,90.3,89.9,88.2,90.9,91.1,92.3,92.3,93.1,93.6,94.8,95.8,96.2,96.8,97.4,97.0,97.3
60608,41,160,2856,5047,4952,4818,4848,6378,2810,4521,2804,4214,3198,3454,2483,3308,2502,3260,2573,3168,2413,3087,2427,2826,2354,2647,12,41,1006,1770,1669,1580,1546,2004,848,1379,833,1385,1090,1576,1245,1701,1358,1744,1450,1765,1481,1907,1574,1813,1545,1720,34,112,2857,5023,4721,4472,4358,5643,2377,3864,2312,3832,2923,4228,3235,4470,3462,4514,3619,4501,3732,4910,3977,4685,3897,4458,11,54,1311,2164,2081,2101,2127,2886,1143,1939,1203,1929,1713,1635,1068,1539,1046,1471,1031,1314,885,1163,820,1014,763,892,23,58,1546,2859,2640,2371,2231,2757,1234,1925,1109,1903,1210,2593,2167,2931,2416,3043,2588,3187,2847,3747,3157,3671,3134,3566,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.756,0.675,0.685,0.699,0.694,0.68,0.672,0.662,0.675,0.666,0.658,0.665,0.631,0.721,0.752,0.744,0.768,0.754,0.778,0.774,0.808,0.808,0.829,0.822,0.836,0.833,0.787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.5,83.7,84.3,84.9,84.7,84.0,83.6,83.1,83.8,83.3,82.9,83.3,81.5,86.1,87.6,87.2,88.4,87.7,88.9,88.7,90.4,90.4,91.5,91.1,91.8,91.7
60609,28,145,2317,4197,4180,4277,4555,4732,4300,2883,4453,2717,4311,2252,3090,2097,2763,2033,2632,1968,2878,2671,3434,2860,3464,2805,2,26,768,1320,1243,1220,1160,1144,1021,654,1058,684,1222,950,1298,1018,1235,1048,1271,1070,1642,1780,2274,2044,2379,2054,6,76,2195,3752,3507,3451,3273,3205,2871,1836,2967,1902,3251,2440,3303,2606,3159,2639,3170,2681,4201,4609,5880,5268,6088,5293,5,64,917,1732,1703,1693,1680,1696,1563,1009,1674,1036,1963,860,1364,895,1346,921,1296,872,1251,899,1208,812,1124,763,1,12,1278,2020,1804,1758,1593,1509,1308,827,1293,866,1288,1580,1939,1711,1813,1718,1874,1809,2950,3710,4672,4456,4964,4530,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.2,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.545,0.543,0.705,0.684,0.673,0.671,0.661,0.654,0.647,0.645,0.639,0.647,0.624,0.739,0.708,0.744,0.701,0.741,0.71,0.755,0.771,0.837,0.83,0.866,0.844,0.874,0.337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.7,67.1,85.3,84.2,83.7,83.5,83.0,82.7,82.4,82.3,82.0,82.4,81.2,87.0,85.4,87.2,85.1,87.1,85.5,87.7,88.5,91.8,91.5,93.3,92.2,93.7
60610,42,188,2850,4988,4931,5028,5049,5098,4654,3035,4316,2538,3831,2184,2915,1990,2531,1888,2298,1765,1979,1708,1835,1568,1741,1479,15,60,1410,2377,2181,2192,2147,2186,1963,1347,1865,1199,1837,1309,1752,1297,1579,1303,1504,1232,1340,1209,1274,1139,1252,1104,45,171,4028,6755,6137,6175,6079,6195,5555,3815,5298,3398,5136,3627,4837,3560,4351,3582,4162,3412,3722,3355,3544,3159,3480,3064,5,25,223,402,404,389,387,375,317,188,289,255,456,269,280,229,267,223,253,197,193,203,206,195,203,173,40,146,3805,6353,5733,5786,5692,5820,5238,3627,5009,3143,4680,3358,4557,3331,4084,3359,3909,3215,3529,3152,3338,2964,3277,2891,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.872,0.948,0.944,0.938,0.941,0.94,0.943,0.946,0.953,0.948,0.93,0.918,0.931,0.945,0.94,0.942,0.941,0.943,0.945,0.951,0.943,0.945,0.942,0.945,0.947,0.851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76.3,93.6,97.4,97.2,96.9,97.0,97.0,97.1,97.3,97.7,97.4,96.5,95.9,96.5,97.3,97.0,97.1,97.1,97.1,97.3,97.5,97.1,97.3,97.1,97.2,97.3
